rank_id,name,salary,canLeave,tariffReduction,allowedMarketsToOwn,penaltyForLeavingRep,pointsOfObligation,tags,description
void_reaver_captain,Void Reaver Captain,120000,true,11,3,150,5,"free_storage,nonrestrictive_colonization,have_research_permit,gets_colony_protection,can_restock,faction_blueprint_access",Always scouting for opprotunity. Probing the establishments for easy pickings and the whispers of that big score which will make you a legend. It's a shame that others don't see eye to eye with this cold logic. It's a shame they're also dead men already.
tyrant_overlord,Tyrant Overlord,150000,true,13,5,200,6,"free_storage,nonrestrictive_colonization,have_research_permit,gets_colony_protection,can_restock,faction_blueprint_access","Incompetents the lot of them. The rest are weaklings. The few worth listening to, like yourself of course, are all that matter. Afterall, you have a reputation to uphold and no one has ever been spared or had mercy given."
abyssal_dreadking,Abyssal Dreadking,200000,true,15,10,200,1,"free_storage,nonrestrictive_colonization,have_research_permit,gets_colony_protection,can_restock,faction_blueprint_access","Once held by the mighty death captains of old, your influence is as widespread as it is absolute from the lowliest dregs to the highest executive. All shall quake under the thunder of your cannons and pay tribute to the next true king of the void."
,,,,,,,,,
intern,Intern,5000,true,2,0,10,2,"can_scan_cargo,free_storage","Just a digit in an endless ocean of metrics, your existence might eventually cause a cascading effect with excessive effort and boot licking. Hope you remembered how to use a PDA."
agent,Agent,10000,true,5,0,30,3,"can_restock,can_scan_cargo,free_storage",A shred of potential to be trusted with tasks given out by the dedicated Supervisors. You can't call the shots but at least your vital intelligence is respected.
senior_agent,Senior Agent,20000,true,7,1,40,4,"can_restock,can_intimidate,can_scan_cargo,free_storage,have_research_permit","A whisper in the dark. A shadow in the shadows. When Tri-Tachyon needs a solution, you are the instrument that is used and oh do these solutions keep on coming."
manager,Manager,50000,true,9,1,80,5,"can_restock,can_intimidate,can_scan_cargo,free_storage,have_research_permit,faction_blueprint_access","The first true test of leadership. An evaluation of skill and profitability. A shifting of decimals, percentages all to further your own progress and of course the company. Afterall, it's just good business."
senior_manager,Senior Manager,120000,false,11,3,150,5,"can_intimidate,gets_colony_protection,have_research_permit,can_scan_cargo,free_storage,faction_blueprint_access","You accept that most don't have potential. You see it now. How to manipulate others to squeeze every last bit of value from them. A compliment here, a quick readjustment to the underlings there. And just like that...you'll be sitting on the Board in no time."
junior_executive,Junior Executive,150000,false,13,5,200,6,"can_intimidate,gets_colony_protection,have_research_permit,can_restock,can_scan_cargo,free_storage,faction_blueprint_access","Trusted to oversee and exercise independent judgement that might go contrary to Tri-Tachyon philosophy, so long as it garners results. You've finally reached the point of somewhat non-expendability."
high_executive,High Executive,200000,false,15,10,200,1,"nonrestrictive_colonization,can_intimidate,gets_colony_protection,have_research_permit,can_restock,can_scan_cargo,free_storage,faction_blueprint_access","Second only to the Board itself, with specialist technical capability along with a strong grasp of military tactics that will soon bring Tri-Tachyon back to the lead in every field."
,,,,,,,,,
conscript,Conscript,5000,true,2,0,10,2,"can_scan_cargo,free_storage","To serve is a great honour. To put the traitors, cultists and scum to heel. While you are one of many who might ultimately be expendable, it is better to be the one with the gun than be the one looking at its barrel."
lieutenant,Lieutenant,10000,true,5,0,30,3,"can_restock,can_scan_cargo,free_storage","The pride of the Lion is in your heart. To act swiftly and inspire others is your cause. For with your deeds and the courage inspired into the men under you, will Sindria triumph against the corsair, the fanatic, and the traitor."
captain,Captain,20000,true,7,1,40,4,"can_restock,can_intimidate,can_scan_cargo,free_storage,have_research_permit",Your first genuine command. Respect is possible from this point on provided that you remember your duty to the Supreme Leader. To make an example of traitors and any who oppose the Lions might. 
lord_admiral,Lord-Admiral,50000,true,9,1,80,5,"can_restock,can_intimidate,can_scan_cargo,free_storage,have_research_permit,faction_blueprint_access","Much like the humble beginnings of Sindria, you have piloted through the ashes, crippled fleets and seen comrades and foe alike die in the millions. Yet your heart is as cold as the void, tempered in the fire of the ion engines to bring those who oppose Sindria to heel."
lord_governor,Lord-Governor,120000,false,11,3,150,5,"can_intimidate,gets_colony_protection,have_research_permit,can_scan_cargo,free_storage,faction_blueprint_access","Entrusted with keeping order and most importantly the populace and industries producing regardless if they recognise the Supreme Leader. Reprisals are common, whether by your hand or others until they recognise that Sindria is the only true power in the Sector."
vice_leader,Vice Leader,150000,false,13,5,200,6,"can_intimidate,gets_colony_protection,have_research_permit,can_restock,can_scan_cargo,free_storage,faction_blueprint_access","Look past the title, the capes, the colours. Behold the lions mane, hear its roar and the beating heart of Sindria. Arise, emboldened through which all might prosper under the one, true leadership with Sindria at its heart."
vice_supreme_leader,Vice Supreme Leader,200000,false,15,10,200,1,"nonrestrictive_colonization,can_intimidate,gets_colony_protection,have_research_permit,can_restock,can_scan_cargo,free_storage,faction_blueprint_access","None will ever be the Supreme Leaders equal. However, this day sees the first of one who can be called his child. Your voice is His. Your word law. Strength through unity. Unity through power. Power through fear."
,,,,,,,,,
ceithearn,Ceithearn,5000,true,2,0,10,2,"free_storage,nonrestrictive_colonization,have_research_permit",Expendable fodder tasked with completing everything from courier duty to raiding to infiltration all for the end task of bringing about the goals of those who know better
fianna,Fianna,10000,true,5,0,30,3,"free_storage,nonrestrictive_colonization,have_research_permit",Commanding small detachments and overseeing more localised raids to misdirect and disorient more powerful hostile groups.
redshank,Redshank,20000,true,7,1,40,4,"free_storage,nonrestrictive_colonization,can_restock,have_research_permit,faction_blueprint_access","Heralding to their namesake, blood thirsty mercenaries and privileged elites who instill fear by their reputation. Issued only to those who have proven their efficiency in combat, known to not take prisoners or tolerate the heathen."
hobelar,Hobelar,50000,true,9,1,80,5,"free_storage,nonrestrictive_colonization,can_restock,have_research_permit,faction_blueprint_access","Infiltration specialists who are dedicated to long range reconnaissance and sabotage. While generally independent, their skill at subterfuge is appreciated as being on par with their combat skills."
gallowglass,Gallowglass,120000,true,11,3,150,5,"free_storage,nonrestrictive_colonization,have_research_permit,gets_colony_protection,can_restock,faction_blueprint_access",Elite soldiers who are deeply enrooted to the cause who have been gifted honourary ranks and titles befitting their achievements. Each creates a banner to rally around that inspires sub-regional cells similar to pirate warbands.
brigadier,Brigadier,150000,true,13,5,200,6,"free_storage,nonrestrictive_colonization,have_research_permit,gets_colony_protection,can_restock,faction_blueprint_access","Seasoned field commanders who primarily lead entire cells but also act as key diplomats and logistics officers. Such is their wide range of function that in many cases, they hold more influence and power than their title suggest for a humble field commander."
adjutant_general,Adjutant General,200000,true,15,10,200,1,"free_storage,nonrestrictive_colonization,have_research_permit,gets_colony_protection,can_restock,faction_blueprint_access","Second only to the highest ranks of the Luddic Path, the Adjutant General is ideally placed to move mountains as needed while manipulating the information and military needs of the commonly outgunned and outmanned forces of the true faithful."
,,,,,,,,,
adjutant,Adjutant,5000,true,2,0,10,2,"can_scan_cargo,free_storage","The Volantian Polity bolsters its relatively small fleet with hired guns from all corners of the sector. While benefits are certainly appropriate, the enemies of the Volantian Polity are numerous and cunning. You are often the first line of defense; just as many, many, spacers before you."
vanguard,Vanguard,10000,true,5,0,30,3,"can_restock,can_scan_cargo,free_storage","You've proven yourself as a capable and reliable fleet commander. The Volantian polity has decided to invest more into you as an asset of the Volantian fleet, as your victories and contributions have become noticable to FLEETCOM."
aegis,Aegis,20000,false,7,1,40,4,"can_restock,can_intimidate,can_scan_cargo,free_storage,have_research_permit","As a charged official of the Volantian Polity, you are respobsible for ensuring the safety and security of Volantis and her colonies. You have a quantum-entanglement comm-link to FLEETCOM and a plethora of military assets at your disposal."
arch_aegis,Arch Aegis,50000,false,9,1,80,5,"can_restock,can_intimidate,can_scan_cargo,free_storage,have_research_permit,faction_blueprint_access","The Volantian Polity has accumulated a vast wealth of credits, resources, and military-grade starships to support your endeavors; you are officially considered a reclaimer and have full access to VolGen's services."
curator,Curator,120000,false,11,3,150,5,"can_intimidate,gets_colony_protection,have_research_permit,can_scan_cargo,free_storage,faction_blueprint_access","As a curator, you are familiar with most technologies and relics in use by the Volantian polity. You're pretty sure that VolGen has your full genetic profile at this point; you are too valuable of an asset to lose."
archaeovist,Archaeovist,150000,false,13,5,200,6,"can_intimidate,gets_colony_protection,have_research_permit,can_restock,can_scan_cargo,free_storage,faction_blueprint_access","Officially, you are a paragon of Volantian ideals and are featured in many an ad-holo for VolGen. Unofficially, VolGen keeps a clone of you on standby in the event that you need any organs, and you recieve top-notch genetic medical care."
celestial,Celestial,200000,false,15,10,200,1,"nonrestrictive_colonization,can_intimidate,gets_colony_protection,have_research_permit,can_restock,can_scan_cargo,free_storage,faction_blueprint_access","You aren't sure if you're the same person that signed the inital commission contract. Your body has been molded by countless genetic improvements, high-grade cybernetics, and the best Volantian technologies available- all to make you a finely-honed instrument of the Volantian Reclamation Initiative. Could one ask for less?"
